epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.5236,2.16933,3.08102,1.75375,0.53879,0.0851,0.01909,0.00582,2.89118,6.45996,3.52268,0.0911,0.000988889,0.000988889
2,20.007,2.20885,2.4564,1.81713,0.30169,0.15323,0.06284,0.02235,2.44124,5.79763,2.45714,0.0821,0.00198887,0.00198887
3,28.227,2.08127,2.23603,1.7582,0.69462,0.03299,0.02467,0.00884,3.35451,7.96233,3.92331,0.0730999,0.00298877,0.00298877
4,36.0765,2.05537,2.24262,1.77862,0.60182,0.07076,0.06364,0.0238,2.81494,11.9083,3.17308,0.0640996,0.00398854,0.00398854
5,43.9269,2.08403,2.25484,1.80689,0.55668,0.14647,0.0692,0.02106,2.68927,5.8275,2.91068,0.0550992,0.00498811,0.00498811
6,50.7538,2.0519,2.15603,1.77322,0.4455,0.39107,0.1964,0.07495,2.25315,4.91147,2.15087,0.0460985,0.00598743,0.00598743
7,57.612,1.95748,2.03826,1.74214,0.46124,0.19861,0.13626,0.05756,2.53291,5.93466,2.48462,0.0370975,0.00698643,0.00698643
8,64.7475,1.99969,2.09276,1.7639,0.43219,0.1353,0.11952,0.04687,2.3986,4.21412,2.41352,0.0280962,0.00798506,0.00798506
9,71.174,1.97126,2.01931,1.73912,0.15577,0.32254,0.17196,0.06854,2.38758,3.52245,2.50891,0.0190944,0.00898327,0.00898327
10,77.3954,1.9738,1.97992,1.69071,0.30179,0.41422,0.33383,0.13849,2.14685,2.59168,1.97012,0.0100921,0.00998099,0.00998099
11,83.5066,1.93849,1.91979,1.69975,0.23491,0.46312,0.28996,0.11959,2.06389,3.10989,2.02958,0.00999023,0.00999023,0.00999023
12,89.3953,1.91232,1.81483,1.68048,0.56393,0.41661,0.42529,0.186,1.88203,2.03953,1.7981,0.00998818,0.00998818,0.00998818
13,95.1127,1.90218,1.81704,1.64152,0.26128,0.32744,0.24007,0.10012,2.19544,2.74592,2.0494,0.00998594,0.00998594,0.00998594
14,100.842,1.85715,1.82217,1.63653,0.29828,0.41891,0.33139,0.13637,2.01577,2.20023,1.97554,0.0099835,0.0099835,0.0099835
15,106.705,1.86203,1.80461,1.64228,0.34275,0.469,0.32262,0.12471,2.03865,2.66115,1.92345,0.00998086,0.00998086,0.00998086
16,112.356,1.81802,1.77734,1.61748,0.49089,0.24202,0.26033,0.12441,2.26316,2.88578,2.00052,0.00997803,0.00997803,0.00997803
17,118.581,1.81953,1.7907,1.64493,0.35744,0.36723,0.35854,0.15417,1.95901,2.14077,1.84528,0.00997501,0.00997501,0.00997501
18,124.816,1.79403,1.7231,1.59253,0.45626,0.40413,0.41894,0.17892,1.9346,2.00705,1.79804,0.00997179,0.00997179,0.00997179
19,131.163,1.80506,1.75245,1.64367,0.38266,0.40695,0.2948,0.11754,2.1215,2.8763,1.94625,0.00996838,0.00996838,0.00996838
20,137.601,1.78107,1.71529,1.60034,0.47948,0.47874,0.45625,0.19312,1.87215,2.3167,1.84449,0.00996477,0.00996477,0.00996477
21,144.082,1.78944,1.69436,1.60419,0.57231,0.43344,0.4416,0.19154,1.8513,1.91132,1.8631,0.00996097,0.00996097,0.00996097
22,150.515,1.79197,1.7437,1.62073,0.34733,0.41681,0.32089,0.13052,1.9935,2.24847,1.81631,0.00995697,0.00995697,0.00995697
23,156.618,1.75958,1.65576,1.57591,0.3443,0.4758,0.37941,0.15352,1.9991,2.10724,1.89524,0.00995278,0.00995278,0.00995278
24,162.621,1.75307,1.65441,1.56378,0.60244,0.41466,0.46656,0.20248,1.84012,1.84477,1.76745,0.0099484,0.0099484,0.0099484
25,168.766,1.74863,1.68643,1.61297,0.37382,0.50352,0.4316,0.19215,1.85526,2.05458,1.8073,0.00994383,0.00994383,0.00994383
26,174.983,1.74656,1.65013,1.58349,0.40898,0.51,0.47992,0.22782,1.83118,2.16355,1.7418,0.00993906,0.00993906,0.00993906
27,181.145,1.7434,1.68521,1.58496,0.67722,0.442,0.51672,0.24104,1.79475,1.84451,1.72008,0.0099341,0.0099341,0.0099341
28,187.183,1.71442,1.6195,1.54882,0.33989,0.46473,0.38269,0.16801,1.90045,2.40396,1.83455,0.00992894,0.00992894,0.00992894
29,193.824,1.75665,1.66912,1.58193,0.49319,0.47905,0.47204,0.20777,1.90586,1.89855,1.75068,0.00992359,0.00992359,0.00992359
30,199.937,1.74574,1.6323,1.5603,0.42277,0.50025,0.49263,0.23614,1.77601,1.91188,1.71999,0.00991805,0.00991805,0.00991805
31,206.23,1.73417,1.62615,1.58318,0.43139,0.62861,0.57005,0.2649,1.73237,1.68409,1.71162,0.00991232,0.00991232,0.00991232
32,212.676,1.70871,1.58328,1.53214,0.45673,0.52492,0.50763,0.24821,1.76983,1.73897,1.70443,0.0099064,0.0099064,0.0099064
33,218.982,1.72439,1.59987,1.55402,0.42791,0.44821,0.43574,0.20337,1.83236,1.97709,1.69756,0.00990028,0.00990028,0.00990028
34,225.099,1.67968,1.60752,1.55849,0.67261,0.45357,0.4963,0.24857,1.8077,1.76314,1.69272,0.00989398,0.00989398,0.00989398
35,231.327,1.65853,1.59112,1.54239,0.43027,0.64779,0.56714,0.26389,1.71292,1.70161,1.6464,0.00988748,0.00988748,0.00988748
36,237.507,1.68628,1.57759,1.53542,0.62663,0.4849,0.50441,0.2489,1.75034,1.80665,1.67144,0.00988079,0.00988079,0.00988079
37,244.053,1.69809,1.56693,1.5344,0.61796,0.46495,0.50158,0.22885,1.83045,1.8598,1.72957,0.00987391,0.00987391,0.00987391
38,250.682,1.6771,1.54089,1.53173,0.46487,0.58151,0.55754,0.26556,1.73685,1.74778,1.71338,0.00986684,0.00986684,0.00986684
39,256.928,1.67827,1.54564,1.51259,0.70348,0.5164,0.59813,0.29502,1.72786,1.51067,1.64886,0.00985958,0.00985958,0.00985958
40,263.218,1.67355,1.52724,1.53937,0.43731,0.49271,0.4946,0.2274,1.92226,1.95888,1.78016,0.00985213,0.00985213,0.00985213
41,269.731,1.67876,1.52138,1.51293,0.61649,0.44853,0.49397,0.21138,1.84488,1.9308,1.74821,0.00984449,0.00984449,0.00984449
42,275.947,1.6894,1.55792,1.51962,0.62787,0.5303,0.56701,0.27675,1.75381,1.71944,1.66227,0.00983666,0.00983666,0.00983666
43,282.514,1.67569,1.55998,1.51988,0.66641,0.51819,0.5879,0.27857,1.68846,1.55782,1.64125,0.00982864,0.00982864,0.00982864
44,288.997,1.66686,1.50896,1.51005,0.40211,0.56659,0.51098,0.23321,1.76562,1.84041,1.67587,0.00982043,0.00982043,0.00982043
45,295.051,1.69148,1.56062,1.5432,0.67926,0.46832,0.52358,0.25067,1.8823,1.70963,1.73879,0.00981204,0.00981204,0.00981204
46,301.291,1.64271,1.5032,1.49875,0.6741,0.5197,0.57448,0.27915,1.68206,1.62678,1.63503,0.00980345,0.00980345,0.00980345
47,307.528,1.63675,1.50661,1.50453,0.50959,0.38111,0.34903,0.158,2.05102,2.38715,1.92829,0.00979468,0.00979468,0.00979468
48,313.775,1.64552,1.54785,1.52908,0.39104,0.55009,0.47172,0.22424,1.83759,1.92654,1.75612,0.00978572,0.00978572,0.00978572
49,320.695,1.66081,1.52172,1.51371,0.52332,0.59904,0.58751,0.28451,1.68632,1.56231,1.60973,0.00977658,0.00977658,0.00977658
50,327.249,1.66648,1.49637,1.50316,0.44036,0.52608,0.51347,0.24395,1.78598,1.77536,1.67938,0.00976725,0.00976725,0.00976725
51,334.138,1.61505,1.51282,1.52,0.68944,0.5222,0.56665,0.27929,1.76611,1.50585,1.65174,0.00975773,0.00975773,0.00975773
52,340.295,1.6613,1.47483,1.49208,0.49319,0.61052,0.58327,0.27095,1.68937,1.64119,1.63485,0.00974803,0.00974803,0.00974803
53,346.456,1.63283,1.50715,1.51196,0.53422,0.61302,0.5924,0.28592,1.69652,1.66114,1.6428,0.00973814,0.00973814,0.00973814
54,352.549,1.66626,1.4821,1.50705,0.70473,0.48582,0.52674,0.25939,1.75114,1.74479,1.67042,0.00972806,0.00972806,0.00972806
55,359.011,1.62451,1.48764,1.51974,0.5138,0.62589,0.59607,0.29519,1.64682,1.56261,1.61008,0.0097178,0.0097178,0.0097178
56,365.217,1.62546,1.49493,1.50382,0.52677,0.62354,0.61834,0.32628,1.61323,1.53438,1.60039,0.00970736,0.00970736,0.00970736
57,371.774,1.57353,1.46029,1.48406,0.69386,0.52856,0.56002,0.28103,1.68895,1.95846,1.6219,0.00969673,0.00969673,0.00969673
58,378.338,1.62601,1.46022,1.47893,0.61122,0.47346,0.52663,0.25035,1.75076,1.69703,1.69053,0.00968592,0.00968592,0.00968592
59,384.722,1.62208,1.47998,1.49105,0.57653,0.58792,0.59312,0.28275,1.647,1.52863,1.61408,0.00967493,0.00967493,0.00967493
60,391.241,1.62478,1.45705,1.48395,0.57271,0.60083,0.63069,0.31483,1.63214,1.56719,1.61569,0.00966375,0.00966375,0.00966375
61,397.815,1.59752,1.46905,1.49525,0.54509,0.59114,0.58812,0.2912,1.65477,1.55886,1.60873,0.00965239,0.00965239,0.00965239
62,404.058,1.57598,1.44641,1.49803,0.62819,0.59036,0.61793,0.31963,1.61863,1.49122,1.60074,0.00964085,0.00964085,0.00964085
63,410.612,1.63495,1.46086,1.51039,0.52641,0.46515,0.49024,0.2301,1.78042,1.86174,1.72251,0.00962913,0.00962913,0.00962913
64,417.126,1.62838,1.45363,1.48776,0.51332,0.54226,0.5637,0.27004,1.71926,1.60786,1.66457,0.00961723,0.00961723,0.00961723
65,423.798,1.62845,1.45387,1.48211,0.66792,0.52349,0.59175,0.30649,1.65889,1.63292,1.6173,0.00960515,0.00960515,0.00960515
66,430.217,1.5766,1.45095,1.48094,0.54761,0.60479,0.59649,0.28648,1.69942,1.5533,1.61397,0.00959289,0.00959289,0.00959289
67,436.674,1.58247,1.41858,1.48814,0.56902,0.61668,0.63165,0.31424,1.613,1.45082,1.60637,0.00958044,0.00958044,0.00958044
68,443.186,1.61572,1.48272,1.51738,0.52674,0.53258,0.55782,0.2755,1.70066,1.67928,1.63291,0.00956782,0.00956782,0.00956782
69,448.992,1.59662,1.40857,1.46939,0.53619,0.57366,0.5651,0.26457,1.72816,1.60893,1.65717,0.00955502,0.00955502,0.00955502
70,454.678,1.58711,1.43567,1.47786,0.52202,0.49401,0.52,0.26355,1.79961,1.82709,1.71302,0.00954205,0.00954205,0.00954205
71,460.454,1.62888,1.44407,1.48844,0.49773,0.5675,0.58591,0.30066,1.63668,1.71149,1.61868,0.00952889,0.00952889,0.00952889
72,466.044,1.57711,1.42097,1.4705,0.5057,0.62596,0.60792,0.30725,1.70918,1.50492,1.64949,0.00951556,0.00951556,0.00951556
73,471.758,1.58316,1.41584,1.47129,0.5957,0.62029,0.64616,0.32978,1.56739,1.46371,1.57409,0.00950206,0.00950206,0.00950206
74,477.995,1.59701,1.4379,1.49708,0.71939,0.48921,0.56355,0.27225,1.69443,1.6808,1.64077,0.00948837,0.00948837,0.00948837
75,484.235,1.57891,1.42167,1.47967,0.53991,0.60361,0.60055,0.30079,1.71191,1.52205,1.66729,0.00947452,0.00947452,0.00947452
76,490.462,1.59371,1.4484,1.50264,0.70699,0.43426,0.47866,0.22105,1.88372,1.66179,1.76651,0.00946048,0.00946048,0.00946048
77,496.583,1.5821,1.41038,1.47349,0.54535,0.61632,0.61664,0.31198,1.70304,1.47158,1.60172,0.00944628,0.00944628,0.00944628
78,502.728,1.58327,1.39202,1.45498,0.6477,0.59091,0.63743,0.33457,1.63144,1.41273,1.59647,0.00943189,0.00943189,0.00943189
79,509.548,1.54755,1.38468,1.45755,0.55928,0.59737,0.65197,0.34153,1.63815,1.42385,1.60315,0.00941734,0.00941734,0.00941734
80,516.267,1.57507,1.38357,1.45959,0.60082,0.61461,0.64014,0.32501,1.63893,1.46253,1.58887,0.00940262,0.00940262,0.00940262
81,522.552,1.57568,1.38751,1.45729,0.55641,0.53857,0.56034,0.27844,1.70886,1.62212,1.6441,0.00938772,0.00938772,0.00938772
82,529.207,1.54872,1.37352,1.46685,0.52866,0.62399,0.62075,0.32882,1.59859,1.44786,1.59355,0.00937265,0.00937265,0.00937265
83,535.676,1.57588,1.40613,1.47419,0.59246,0.57492,0.61602,0.3191,1.6232,1.55217,1.59894,0.00935741,0.00935741,0.00935741
84,541.923,1.58053,1.40203,1.47152,0.53637,0.59994,0.57528,0.29073,1.63814,1.57868,1.59663,0.009342,0.009342,0.009342
85,548.167,1.59364,1.38124,1.46081,0.70174,0.46152,0.52857,0.24312,1.91421,1.62771,1.76629,0.00932642,0.00932642,0.00932642
86,554.423,1.53751,1.38678,1.45259,0.61644,0.58011,0.61715,0.30766,1.66319,1.45139,1.6028,0.00931067,0.00931067,0.00931067
87,560.99,1.56717,1.36478,1.4521,0.61334,0.59833,0.64564,0.32603,1.64774,1.44415,1.59268,0.00929476,0.00929476,0.00929476
88,567.035,1.54322,1.37702,1.45196,0.55878,0.64151,0.63947,0.3173,1.68321,1.41261,1.62302,0.00927867,0.00927867,0.00927867
89,573.493,1.571,1.36831,1.45371,0.56803,0.57776,0.59018,0.29173,1.78146,1.55234,1.69249,0.00926242,0.00926242,0.00926242
90,579.85,1.58224,1.42401,1.48884,0.66285,0.54146,0.57991,0.30199,1.68891,1.50399,1.62584,0.00924601,0.00924601,0.00924601
91,585.982,1.54523,1.37108,1.443,0.62409,0.65284,0.68423,0.36162,1.56321,1.3898,1.5435,0.00922942,0.00922942,0.00922942
