epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.19966,1.91159,3.49961,1.67041,0.42763,0.24665,0.25172,0.12207,1.77402,2.87698,1.52612,0.00032963,0.00032963,0.00032963
2,15.2645,1.85743,2.30532,1.61032,0.38194,0.47745,0.38548,0.17793,1.84627,2.17643,1.65672,0.00059733,0.00059733,0.00059733
3,21.8417,1.83408,1.99097,1.61748,0.30204,0.42309,0.34562,0.14195,1.89364,2.19475,1.69497,0.00079903,0.00079903,0.00079903
4,27.9339,1.75637,1.90087,1.59933,0.44284,0.37463,0.40678,0.18546,1.90205,2.15176,1.64999,0.000703,0.000703,0.000703
5,33.821,1.68796,1.75448,1.55399,0.61042,0.46443,0.50287,0.22648,1.82835,1.96985,1.58965,0.000604,0.000604,0.000604
6,39.6539,1.62621,1.70734,1.51674,0.52583,0.65076,0.619,0.30348,1.63005,1.64354,1.4733,0.000505,0.000505,0.000505
7,45.5776,1.5822,1.60883,1.48756,0.7381,0.57159,0.65956,0.32486,1.56573,1.5401,1.44924,0.000406,0.000406,0.000406
8,51.8059,1.52925,1.56821,1.44287,0.60821,0.62413,0.64571,0.33602,1.56863,1.5238,1.42585,0.000307,0.000307,0.000307
9,57.9828,1.48132,1.47801,1.41604,0.72137,0.61952,0.68673,0.36198,1.53413,1.44637,1.42032,0.000208,0.000208,0.000208
10,64.1094,1.43797,1.45408,1.40048,0.71658,0.6453,0.71003,0.39247,1.48948,1.37334,1.39897,0.000109,0.000109,0.000109
