epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.0295,2.05875,3.01305,1.67174,0.64382,0.07514,0.06947,0.02096,2.50081,12.2289,3.22181,0.0911,0.000988889,0.000988889
2,18.4621,2.15028,2.33673,1.7284,0.14298,0.32168,0.15118,0.05967,2.14686,38.5995,2.13465,0.0821,0.00198887,0.00198887
3,25.5111,2.01042,2.10666,1.66348,0.53742,0.19237,0.11094,0.04626,2.63878,6.22358,2.46217,0.0730999,0.00298877,0.00298877
4,33.5622,2.04802,2.16696,1.72464,0.27635,0.19224,0.08392,0.03148,2.56669,61.6487,2.72011,0.0640996,0.00398854,0.00398854
5,40.6385,2.03766,2.18039,1.72052,0.56496,0.16896,0.11364,0.04534,2.56007,9.12552,2.49524,0.0550992,0.00498811,0.00498811
6,46.5564,2.01584,2.11394,1.68629,0.54839,0.16963,0.1627,0.06398,2.50265,9.66135,2.28832,0.0460985,0.00598743,0.00598743
7,52.5061,1.92788,2.00529,1.67712,0.57762,0.19678,0.27574,0.11605,2.00223,14.7434,1.91509,0.0370975,0.00698643,0.00698643
8,58.5145,1.9567,2.0223,1.68688,0.39323,0.37692,0.30529,0.11965,2.03492,7.23038,1.86589,0.0280962,0.00798506,0.00798506
9,64.2793,1.9375,1.98274,1.69143,0.14047,0.28962,0.0863,0.03218,2.45574,10.0491,2.55429,0.0190944,0.00898327,0.00898327
10,70.5014,1.98699,1.92096,1.65614,0.54225,0.20391,0.12735,0.05867,2.50729,5.06217,2.28229,0.0100921,0.00998099,0.00998099
11,76.8517,1.90269,1.8545,1.63778,0.32276,0.24338,0.24054,0.09839,2.19042,8.95251,2.15882,0.00999023,0.00999023,0.00999023
12,83.1313,1.87764,1.76059,1.63423,0.51434,0.43825,0.46526,0.19739,1.8378,5.49941,1.75544,0.00998818,0.00998818,0.00998818
13,89.3439,1.83457,1.72629,1.56893,0.33996,0.42589,0.35843,0.15172,2.10471,4.79371,1.91294,0.00998594,0.00998594,0.00998594
14,95.4021,1.84348,1.76065,1.6074,0.37588,0.47133,0.41056,0.17485,1.87501,2.54827,1.79229,0.0099835,0.0099835,0.0099835
15,101.585,1.85455,1.77633,1.60056,0.6441,0.3856,0.48622,0.20023,1.82944,4.45835,1.71739,0.00998086,0.00998086,0.00998086
16,107.855,1.78558,1.6889,1.55344,0.58095,0.45186,0.47001,0.21577,1.8174,2.67253,1.68857,0.00997803,0.00997803,0.00997803
17,114.664,1.77776,1.6817,1.58837,0.49469,0.53289,0.52124,0.24766,1.79441,1.82307,1.73981,0.00997501,0.00997501,0.00997501
18,120.865,1.7727,1.67408,1.54098,0.4188,0.53464,0.41093,0.16975,1.89001,3.07342,1.72953,0.00997179,0.00997179,0.00997179
19,127.209,1.74265,1.64055,1.55398,0.27307,0.32374,0.23803,0.09687,2.41107,4.24082,2.23078,0.00996838,0.00996838,0.00996838
20,133.514,1.75044,1.63532,1.55322,0.416,0.56847,0.52043,0.24335,1.72444,2.93313,1.65979,0.00996477,0.00996477,0.00996477
21,139.817,1.73606,1.62243,1.52659,0.47786,0.5677,0.551,0.24928,1.64687,2.02199,1.62047,0.00996097,0.00996097,0.00996097
22,146.182,1.69374,1.59773,1.52447,0.48012,0.60414,0.55065,0.2613,1.78451,2.21152,1.63874,0.00995697,0.00995697,0.00995697
23,152.493,1.71247,1.54539,1.4986,0.44284,0.51091,0.4979,0.22367,1.74352,2.35841,1.69888,0.00995278,0.00995278,0.00995278
24,158.598,1.714,1.56343,1.50587,0.58364,0.56535,0.60891,0.29601,1.5918,2.18237,1.54622,0.0099484,0.0099484,0.0099484
25,164.873,1.70838,1.55846,1.54395,0.52431,0.55579,0.55685,0.26332,1.81361,1.84514,1.61781,0.00994383,0.00994383,0.00994383
26,170.882,1.68261,1.50903,1.4973,0.60303,0.60605,0.64116,0.30913,1.66537,1.60808,1.56999,0.00993906,0.00993906,0.00993906
27,177.393,1.70189,1.52044,1.51494,0.42663,0.51084,0.44441,0.19158,1.94206,4.54228,1.80105,0.0099341,0.0099341,0.0099341
28,183.738,1.67125,1.50746,1.48852,0.68527,0.54518,0.60975,0.2939,1.60631,1.89499,1.57217,0.00992894,0.00992894,0.00992894
29,190.175,1.7292,1.55692,1.53212,0.52691,0.60036,0.56374,0.25455,1.73649,2.03059,1.60325,0.00992359,0.00992359,0.00992359
30,196.328,1.6961,1.54741,1.50222,0.48786,0.48423,0.44827,0.2047,1.82197,4.73828,1.69219,0.00991805,0.00991805,0.00991805
31,202.827,1.66499,1.50169,1.49534,0.61252,0.59369,0.63433,0.31023,1.70749,2.24406,1.66118,0.00991232,0.00991232,0.00991232
32,209.386,1.66704,1.48402,1.46892,0.58722,0.52727,0.51941,0.24179,1.8809,2.0748,1.68274,0.0099064,0.0099064,0.0099064
33,215.645,1.67852,1.49105,1.48319,0.49948,0.52008,0.49866,0.24685,1.68891,2.53905,1.56399,0.00990028,0.00990028,0.00990028
34,222.034,1.65878,1.4807,1.4864,0.69138,0.54664,0.61953,0.30521,1.73979,2.03952,1.63064,0.00989398,0.00989398,0.00989398
35,228.337,1.64412,1.45576,1.47367,0.52218,0.60352,0.57408,0.26556,1.82963,1.96804,1.64874,0.00988748,0.00988748,0.00988748
36,234.661,1.61511,1.45872,1.45914,0.53306,0.63157,0.61829,0.31342,1.57647,1.93268,1.51779,0.00988079,0.00988079,0.00988079
37,241.056,1.64715,1.4373,1.45999,0.51337,0.57721,0.53437,0.24883,1.79917,1.9082,1.59754,0.00987391,0.00987391,0.00987391
38,247.593,1.63819,1.4492,1.4645,0.5606,0.56339,0.5938,0.28754,1.70626,1.8625,1.60879,0.00986684,0.00986684,0.00986684
39,254.102,1.60815,1.41905,1.43525,0.62783,0.62306,0.6713,0.34161,1.54938,1.58396,1.51625,0.00985958,0.00985958,0.00985958
40,260.549,1.62242,1.44079,1.47267,0.76222,0.50859,0.63488,0.31436,1.58851,1.69327,1.52788,0.00985213,0.00985213,0.00985213
41,266.84,1.6287,1.43095,1.45733,0.56243,0.5165,0.5432,0.27306,1.68704,2.02702,1.58077,0.00984449,0.00984449,0.00984449
42,273.227,1.62118,1.45783,1.44022,0.74287,0.3691,0.47081,0.22571,1.70637,2.37854,1.56458,0.00983666,0.00983666,0.00983666
43,279.517,1.6124,1.43827,1.45123,0.60614,0.51762,0.57164,0.27288,1.7316,1.83712,1.62059,0.00982864,0.00982864,0.00982864
44,285.702,1.6072,1.40294,1.44314,0.52632,0.62855,0.6021,0.29688,1.55709,1.49334,1.48291,0.00982043,0.00982043,0.00982043
45,291.863,1.64498,1.431,1.4699,0.64161,0.50431,0.54467,0.25129,1.75198,1.66301,1.62983,0.00981204,0.00981204,0.00981204
46,298.055,1.5721,1.38796,1.43462,0.58818,0.57127,0.61167,0.30747,1.69714,1.64044,1.57063,0.00980345,0.00980345,0.00980345
47,304.019,1.60115,1.39231,1.45101,0.5896,0.62159,0.63676,0.31057,1.62565,1.73609,1.57312,0.00979468,0.00979468,0.00979468
48,310.338,1.58275,1.39037,1.44688,0.50398,0.50353,0.51508,0.25491,1.77111,2.58648,1.59463,0.00978572,0.00978572,0.00978572
49,316.626,1.6058,1.39973,1.44153,0.69684,0.62404,0.69313,0.3448,1.65807,1.65816,1.5234,0.00977658,0.00977658,0.00977658
50,323.136,1.60291,1.36804,1.42532,0.43269,0.41766,0.41334,0.19458,1.98344,3.28819,1.7456,0.00976725,0.00976725,0.00976725
51,329.601,1.60036,1.44963,1.46683,0.55962,0.55849,0.57632,0.28902,1.71115,1.68285,1.61135,0.00975773,0.00975773,0.00975773
52,335.933,1.61282,1.35701,1.42071,0.60606,0.60424,0.64426,0.31539,1.63179,1.53912,1.5307,0.00974803,0.00974803,0.00974803
53,342.243,1.57245,1.39152,1.43735,0.59557,0.64308,0.65022,0.32595,1.54558,2.02168,1.49592,0.00973814,0.00973814,0.00973814
54,348.727,1.61702,1.36477,1.43469,0.55804,0.50556,0.52447,0.25145,1.70303,2.14696,1.56146,0.00972806,0.00972806,0.00972806
55,355.503,1.57175,1.36359,1.43735,0.60704,0.62766,0.65984,0.33005,1.71413,1.42283,1.55423,0.0097178,0.0097178,0.0097178
56,361.482,1.55997,1.37221,1.40758,0.5777,0.6191,0.63917,0.32734,1.57015,2.17342,1.49481,0.00970736,0.00970736,0.00970736
57,367.729,1.53463,1.35997,1.42063,0.65964,0.66581,0.71445,0.37057,1.56022,1.45088,1.49123,0.00969673,0.00969673,0.00969673
58,373.826,1.55753,1.34588,1.40219,0.64874,0.57933,0.64962,0.33231,1.65835,1.61926,1.54643,0.00968592,0.00968592,0.00968592
59,380.125,1.57211,1.35821,1.41983,0.65786,0.6121,0.69498,0.36418,1.58269,1.75199,1.49783,0.00967493,0.00967493,0.00967493
60,386.611,1.58637,1.34545,1.4167,0.60888,0.56743,0.59434,0.28555,1.74394,1.67057,1.62164,0.00966375,0.00966375,0.00966375
61,392.686,1.58143,1.37767,1.43095,0.62084,0.60661,0.64673,0.32762,1.5862,1.67834,1.49834,0.00965239,0.00965239,0.00965239
62,398.8,1.5554,1.34197,1.42359,0.69422,0.6149,0.68675,0.36078,1.54517,1.36069,1.4846,0.00964085,0.00964085,0.00964085
63,404.39,1.6031,1.37575,1.42943,0.56857,0.58309,0.59579,0.28967,1.67246,2.30336,1.54847,0.00962913,0.00962913,0.00962913
64,409.905,1.60204,1.38491,1.43365,0.62721,0.5709,0.63118,0.31966,1.5911,2.31261,1.553,0.00961723,0.00961723,0.00961723
65,415.598,1.56941,1.33338,1.39952,0.61391,0.63585,0.68109,0.36228,1.50128,1.53379,1.4603,0.00960515,0.00960515,0.00960515
66,421.223,1.52511,1.32177,1.41316,0.58578,0.62638,0.66308,0.34096,1.57828,1.41463,1.50263,0.00959289,0.00959289,0.00959289
67,426.766,1.53564,1.3314,1.4108,0.56088,0.63576,0.65193,0.34578,1.55208,1.54396,1.51169,0.00958044,0.00958044,0.00958044
68,432.754,1.56381,1.39157,1.4542,0.65979,0.39134,0.45051,0.21526,1.82087,2.73448,1.65159,0.00956782,0.00956782,0.00956782
69,439.055,1.52536,1.29719,1.39491,0.60969,0.46692,0.50764,0.24789,1.73392,1.90462,1.57548,0.00955502,0.00955502,0.00955502
70,445.579,1.54609,1.33192,1.41165,0.65131,0.65451,0.6935,0.36537,1.59161,1.45056,1.49318,0.00954205,0.00954205,0.00954205
71,451.936,1.54011,1.29373,1.39996,0.57486,0.61627,0.63048,0.32573,1.62704,1.43332,1.54891,0.00952889,0.00952889,0.00952889
72,458.229,1.52984,1.30376,1.39704,0.58711,0.62276,0.63686,0.32836,1.60036,1.66132,1.4942,0.00951556,0.00951556,0.00951556
73,464.688,1.53882,1.30522,1.39801,0.60519,0.49864,0.54453,0.2545,1.78783,1.81568,1.57065,0.00950206,0.00950206,0.00950206
74,471.063,1.52543,1.30777,1.42156,0.57093,0.65333,0.68333,0.34736,1.60352,1.65157,1.50311,0.00948837,0.00948837,0.00948837
75,476.949,1.55045,1.33794,1.42034,0.59719,0.61482,0.64814,0.29985,1.60605,2.25495,1.55087,0.00947452,0.00947452,0.00947452
76,483.537,1.53799,1.33992,1.43504,0.68966,0.51511,0.59804,0.29719,1.72224,2.36933,1.59496,0.00946048,0.00946048,0.00946048
77,490.014,1.53468,1.29532,1.40803,0.54777,0.65036,0.64068,0.32535,1.62391,1.48597,1.49353,0.00944628,0.00944628,0.00944628
78,496.211,1.55661,1.31981,1.40075,0.59286,0.48271,0.56813,0.27807,1.71086,1.74117,1.59915,0.00943189,0.00943189,0.00943189
