epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.05066,2.31232,3.28814,1.92025,0.00015,0.03501,9e-05,3e-05,4.1913,inf,277.95,0.0706667,0.00325926,0.00325926
2,9.42626,2.31018,2.63224,1.94779,0.16739,0.11528,0.00053,0.00013,4.04845,inf,39.1127,0.0406651,0.00659098,0.00659098
3,13.4389,2.23094,2.38212,1.85643,0.55885,0.14733,0.06092,0.02286,3.09468,45.8904,3.66962,0.010657,0.00991623,0.00991623
4,17.527,2.11908,2.34567,1.86291,0.36726,0.09075,0.01919,0.00576,3.15373,8.01611,3.18552,0.00997803,0.00997803,0.00997803
5,21.6129,2.14544,2.21932,1.78969,0.17805,0.03495,0.00359,0.00091,4.04041,7.72667,5.4449,0.00996097,0.00996097,0.00996097
6,25.7452,2.06827,2.23549,1.77968,0.52228,0.1005,0.05274,0.0205,2.91301,5.24611,3.14866,0.00993906,0.00993906,0.00993906
7,29.7684,2.04828,2.18935,1.77158,0.30322,0.27467,0.14161,0.05252,2.27857,2.75381,2.12996,0.00991232,0.00991232,0.00991232
8,33.9645,2.01895,2.10149,1.76379,0.19872,0.31046,0.14729,0.05695,2.33014,4.92002,2.35346,0.00988079,0.00988079,0.00988079
9,37.9915,2.01763,2.10345,1.75593,0.48725,0.12979,0.08216,0.03143,2.75341,4.4569,3.00096,0.00984449,0.00984449,0.00984449
10,41.9378,1.96804,1.98266,1.69723,0.40706,0.36041,0.29593,0.12577,2.08588,2.85061,2.06562,0.00980345,0.00980345,0.00980345
11,45.9003,1.98661,1.87448,1.66584,0.55118,0.27891,0.21873,0.08155,2.28178,2.46278,2.18393,0.00975773,0.00975773,0.00975773
12,49.9071,1.91949,1.91286,1.6771,0.21213,0.3587,0.23169,0.09478,2.23264,2.85441,2.17158,0.00970736,0.00970736,0.00970736
13,53.8062,1.90558,1.90552,1.68268,0.15747,0.2912,0.20278,0.08862,2.21914,3.0654,2.29773,0.00965239,0.00965239,0.00965239
14,57.8298,1.86119,1.82781,1.64807,0.56564,0.34799,0.31429,0.14149,2.07695,3.07007,1.9305,0.00959289,0.00959289,0.00959289
15,61.8158,1.84433,1.82432,1.63196,0.29954,0.40157,0.27346,0.10958,2.13253,2.62485,1.99148,0.00952889,0.00952889,0.00952889
16,65.9583,1.8229,1.90042,1.66237,0.24277,0.45836,0.2082,0.08,2.12592,7.02386,2.14438,0.00946048,0.00946048,0.00946048
17,69.8833,1.83005,1.82038,1.60663,0.33376,0.52757,0.38505,0.17256,1.90173,2.019,1.79213,0.00938772,0.00938772,0.00938772
18,74.013,1.82448,1.85004,1.6445,0.3371,0.32481,0.26487,0.12097,2.0599,2.74589,1.9699,0.00931067,0.00931067,0.00931067
19,77.6816,1.80894,1.74383,1.58933,0.33139,0.45027,0.32805,0.1522,1.89858,2.1174,1.89477,0.00922942,0.00922942,0.00922942
20,81.5467,1.82058,1.77793,1.61385,0.55688,0.33881,0.36429,0.16151,2.06554,2.2207,1.93814,0.00914405,0.00914405,0.00914405
21,85.3621,1.83111,1.70189,1.56999,0.44673,0.32569,0.31073,0.14181,1.99263,2.85157,1.93387,0.00905463,0.00905463,0.00905463
22,89.0675,1.77256,1.71673,1.58828,0.58549,0.48986,0.50996,0.22748,1.75062,1.8552,1.69488,0.00896127,0.00896127,0.00896127
23,92.697,1.76009,1.64762,1.56285,0.57293,0.43075,0.47468,0.22555,1.81871,1.79529,1.70311,0.00886404,0.00886404,0.00886404
24,96.6263,1.7325,1.65121,1.57431,0.44907,0.44383,0.43947,0.19632,1.89497,2.18923,1.7937,0.00876305,0.00876305,0.00876305
25,100.517,1.77367,1.62927,1.56832,0.54319,0.4485,0.43006,0.18689,1.85681,2.11667,1.81183,0.00865839,0.00865839,0.00865839
26,104.42,1.76198,1.62655,1.55283,0.75189,0.45108,0.55747,0.26273,1.72899,1.6374,1.67195,0.00855018,0.00855018,0.00855018
27,108.461,1.74865,1.63599,1.544,0.5713,0.39829,0.44825,0.20374,1.84935,2.17835,1.81349,0.00843851,0.00843851,0.00843851
28,112.252,1.74899,1.62943,1.5339,0.50624,0.2498,0.22429,0.09561,2.37288,3.62711,2.20795,0.00832349,0.00832349,0.00832349
29,116.186,1.7434,1.61127,1.53805,0.38641,0.48921,0.44407,0.21028,1.83379,1.80141,1.75117,0.00820525,0.00820525,0.00820525
30,120.433,1.69828,1.59375,1.56062,0.43496,0.50657,0.46653,0.21567,1.86745,1.88734,1.74043,0.00808389,0.00808389,0.00808389
31,124.653,1.7041,1.56855,1.53704,0.42013,0.39702,0.38268,0.17326,1.88919,2.48016,1.80406,0.00795954,0.00795954,0.00795954
32,128.607,1.71102,1.59439,1.53758,0.65546,0.47237,0.51453,0.24972,1.77332,1.77934,1.66264,0.00783231,0.00783231,0.00783231
33,132.5,1.70588,1.55012,1.52549,0.71537,0.43456,0.5121,0.2368,1.84186,1.76961,1.69079,0.00770234,0.00770234,0.00770234
34,136.377,1.61855,1.55899,1.53513,0.56474,0.55147,0.54321,0.25048,1.74019,1.67519,1.63864,0.00756976,0.00756976,0.00756976
35,140.141,1.68981,1.52416,1.50128,0.56378,0.52274,0.5441,0.26066,1.76548,1.69846,1.653,0.00743468,0.00743468,0.00743468
36,144.03,1.67932,1.55373,1.53886,0.52604,0.32406,0.30257,0.12779,2.22789,2.34737,2.05878,0.00729725,0.00729725,0.00729725
37,147.918,1.65792,1.55731,1.53174,0.68278,0.50379,0.58902,0.28465,1.70546,1.62972,1.64515,0.00715761,0.00715761,0.00715761
38,151.863,1.6519,1.5296,1.51526,0.5212,0.5695,0.57295,0.2758,1.69254,1.60918,1.59214,0.00701588,0.00701588,0.00701588
39,155.584,1.68338,1.511,1.50808,0.58507,0.44058,0.42375,0.19465,1.94679,1.81851,1.76046,0.00687222,0.00687222,0.00687222
40,159.461,1.60338,1.45668,1.47613,0.51516,0.62378,0.60755,0.29269,1.66063,1.65008,1.60189,0.00672675,0.00672675,0.00672675
41,163.387,1.65145,1.48569,1.4846,0.50913,0.51138,0.51559,0.23176,1.84068,1.88275,1.67012,0.00657963,0.00657963,0.00657963
42,167.323,1.61437,1.50612,1.50391,0.38715,0.52873,0.44805,0.21186,1.81772,2.16266,1.72514,0.00643101,0.00643101,0.00643101
43,171.113,1.63631,1.47854,1.46796,0.71136,0.46313,0.58779,0.29439,1.69801,1.60077,1.58796,0.00628101,0.00628101,0.00628101
44,175.314,1.58662,1.49607,1.49656,0.55238,0.63297,0.62873,0.31775,1.60636,1.50567,1.54216,0.00612981,0.00612981,0.00612981
45,179.209,1.62739,1.41877,1.44533,0.67533,0.57605,0.59895,0.29725,1.73222,1.51587,1.61116,0.00597754,0.00597754,0.00597754
46,183.167,1.61557,1.44213,1.47077,0.66999,0.53511,0.56432,0.2807,1.73157,1.63824,1.63574,0.00582435,0.00582435,0.00582435
47,187.004,1.62916,1.3971,1.43682,0.55301,0.55916,0.59325,0.28318,1.7209,1.55975,1.61474,0.0056704,0.0056704,0.0056704
48,191.253,1.60663,1.4558,1.48821,0.59465,0.58524,0.60322,0.27773,1.69804,1.55072,1.58283,0.00551584,0.00551584,0.00551584
