epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,109.92,1.59636,1.37529,1.39512,0.50603,0.36518,0.37279,0.18101,1.93415,2.36582,1.85292,0.00643101,0.00643101,0.00643101
43,112.594,1.53322,1.38502,1.38321,0.52416,0.46626,0.47087,0.21879,1.82913,1.72453,1.62694,0.00628101,0.00628101,0.00628101
44,115.086,1.503,1.34359,1.36794,0.57527,0.47079,0.50867,0.23524,1.80524,1.7946,1.61254,0.00612981,0.00612981,0.00612981
45,117.533,1.57983,1.34375,1.36614,0.64821,0.66491,0.69214,0.34773,1.56739,1.43335,1.43764,0.00597754,0.00597754,0.00597754
46,120.29,1.5296,1.35189,1.39795,0.49749,0.50045,0.50293,0.2358,1.86227,1.61995,1.71137,0.00582435,0.00582435,0.00582435
47,122.846,1.53081,1.33747,1.37125,0.67886,0.6619,0.72613,0.38017,1.49754,1.28503,1.4147,0.0056704,0.0056704,0.0056704
48,125.6,1.50381,1.33255,1.3857,0.64312,0.63044,0.68816,0.33948,1.62696,1.42603,1.46864,0.00551584,0.00551584,0.00551584
49,128.17,1.58155,1.36969,1.38883,0.61682,0.63218,0.65464,0.32858,1.61254,1.49054,1.47752,0.00536081,0.00536081,0.00536081
50,130.687,1.56055,1.31883,1.36219,0.60878,0.61221,0.6492,0.30567,1.72606,1.50343,1.5551,0.00520548,0.00520548,0.00520548
51,133.217,1.52801,1.297,1.35975,0.48373,0.59849,0.55103,0.24301,1.83393,1.78003,1.61448,0.00505,0.00505,0.00505
52,135.658,1.54612,1.32925,1.37434,0.61485,0.70215,0.702,0.36454,1.56421,1.33194,1.43338,0.00489452,0.00489452,0.00489452
53,138.178,1.52233,1.2959,1.36651,0.58735,0.69164,0.67753,0.34425,1.55593,1.39788,1.42594,0.00473919,0.00473919,0.00473919
54,141.023,1.46398,1.33397,1.41933,0.44494,0.58692,0.52569,0.26874,1.67722,1.66554,1.53196,0.00458416,0.00458416,0.00458416
55,143.731,1.49935,1.25967,1.34296,0.6236,0.47923,0.53294,0.28073,1.72226,1.56926,1.53949,0.0044296,0.0044296,0.0044296
56,146.125,1.54448,1.24257,1.30538,0.54461,0.43924,0.5019,0.24165,1.87041,1.73251,1.61579,0.00427565,0.00427565,0.00427565
57,148.913,1.46361,1.28169,1.36084,0.51618,0.62541,0.5944,0.29643,1.62837,1.58817,1.47893,0.00412246,0.00412246,0.00412246
58,151.695,1.4492,1.30456,1.37412,0.66125,0.6435,0.70682,0.38645,1.49231,1.29368,1.39555,0.00397019,0.00397019,0.00397019
59,154.218,1.45807,1.22843,1.31582,0.59312,0.55674,0.57752,0.29772,1.64505,1.52061,1.5095,0.00381899,0.00381899,0.00381899
60,157.003,1.41499,1.20417,1.34839,0.59766,0.54734,0.58715,0.30358,1.78004,1.52963,1.5986,0.00366899,0.00366899,0.00366899
61,159.643,1.44949,1.17529,1.29887,0.68982,0.61058,0.66327,0.34066,1.5523,1.28622,1.42658,0.00352037,0.00352037,0.00352037
62,162.023,1.46466,1.19294,1.30918,0.70783,0.66927,0.73117,0.39685,1.47213,1.21953,1.39517,0.00337325,0.00337325,0.00337325
63,164.526,1.49142,1.22348,1.32519,0.70903,0.6051,0.6933,0.35228,1.68544,1.31392,1.52867,0.00322778,0.00322778,0.00322778
64,167.108,1.41881,1.21065,1.34607,0.59656,0.64895,0.6771,0.35142,1.60553,1.27239,1.45866,0.00308412,0.00308412,0.00308412
65,169.935,1.45765,1.25614,1.34082,0.65322,0.67574,0.71917,0.39141,1.50316,1.22701,1.38262,0.00294239,0.00294239,0.00294239
66,172.55,1.41451,1.16465,1.28976,0.69477,0.68458,0.74355,0.41713,1.46243,1.1785,1.37295,0.00280275,0.00280275,0.00280275
67,175.228,1.4039,1.18925,1.3236,0.7118,0.67744,0.73472,0.40216,1.47871,1.20832,1.38895,0.00266532,0.00266532,0.00266532
68,177.757,1.41256,1.16451,1.30257,0.71751,0.65942,0.74511,0.41704,1.46039,1.16339,1.3636,0.00253024,0.00253024,0.00253024
69,180.165,1.43178,1.18612,1.31267,0.63749,0.627,0.68761,0.33967,1.66862,1.33683,1.46449,0.00239766,0.00239766,0.00239766
70,182.654,1.42346,1.17259,1.31053,0.66758,0.63061,0.7075,0.37448,1.59349,1.24997,1.42785,0.00226769,0.00226769,0.00226769
